0.00819696,0.007428,0.00713771
2.1209e-07,0.0136157,0.013954
0.017119,0.0147945,0.0151758
0.0187772,0.0159193,0.0165889
0.0184118,0.0172176,0.0184118
0.023177,0.0189065,0.0205577
0.0260992,0.0207357,0.022889
1.54805e-09,0.0231415,0.0260734
0.033582,0.0256848,0.0297843
0.0380795,0.0289854,0.0340443
0.000152188,0.0325333,0.0389601
6.78203e-07,0.0369053,0.0444468
0.0550638,0.0414256,0.0504894
0.0614063,0.0467406,0.0568252
0.0677658,0.0522894,0.0638295
0.0738777,0.0576403,0.0707759
1.18329e-06,0.0638471,0.0775484
0.0863253,0.0695384,0.0843486
0.092381,0.0754609,0.0912774
0.0982946,0.0809248,0.0978299
0.104235,0.086759,0.10453
0.110412,0.0923321,0.110979
0.116627,0.0978214,0.117696
0.122707,0.103696,0.124381
0.129831,0.109643,0.130583
0.136962,0.115506,0.13723
0.144273,0.121448,0.143815
0.151533,0.127821,0.150753
0.159105,0.134224,0.157113
0.165885,0.140712,0.164191
0.173188,0.147535,0.1711
0.179868,0.154492,0.177997
0.18653,0.160881,0.185081
0.193029,0.167802,0.192782
0.200007,0.174705,0.200098
0.206712,0.181542,0.207549
0.213497,0.188741,0.215398
0.220259,0.195738,0.222359
0.227458,0.202558,0.229748
0.234784,0.209895,0.236799
0.242121,0.216904,0.244495
0.249608,0.224103,0.252144
0.257278,0.230769,0.259583
0.264767,0.237917,0.26734
0.272812,0.245704,0.274819
0.279771,0.253287,0.282374
0.287554,0.2609,0.289609
0.294459,0.268991,0.296633
0.302338,0.277139,0.304218
0.309821,0.285016,0.311266
0.317319,0.292948,0.318466
0.324657,0.300851,0.326297
0.33278,0.308758,0.333504
0.340274,0.31673,0.341491
0.3478,0.324592,0.349272
0.355721,0.332398,0.356939
0.363197,0.340149,0.364541
0.371298,0.348157,0.372568
0.378493,0.355767,0.38042
0.386023,0.36336,0.387322
0.393293,0.371111,0.39491
0.4004,0.378692,0.402628
0.40765,0.386799,0.410275
0.414577,0.394984,0.417391
0.42199,0.403629,0.425082
0.428648,0.411055,0.433266
0.435843,0.419555,0.440653
0.443091,6.73462e-06,0.448169
0.44973,0.435787,0.455521
0.457063,0.44389,0.463392
0.464431,7.05908e-06,0.470784
0.471365,7.16447e-06,0.478301
0.478418,7.30008e-06,0.48617
0.485233,2.88096e-08,0.493808
0.492706,0.492706,0.501616
0.499231,0.486794,0.508854
0.506309,0.494277,0.515955
0.513469,0.00200574,0.523994
0.520546,3.10269e-08,0.530549
0.527861,0.517018,0.538018
0.534128,0.523881,0.544704
0.541891,0.532121,0.55237
0.548606,0.00214299,0.559105
0.555493,0.546308,0.565519
0.562785,0.554345,0.572932
0.568747,0.560966,0.579831
0.57608,0.568511,0.5867
0.58288,0.575574,0.593949
0.59025,0.582318,0.600808
0.597219,0.589812,0.608275
0.604838,0.597096,0.615006
0.612019,0.604944,0.622663
0.619736,0.612503,0.629337
0.627477,0.620572,0.638323
0.635373,0.629336,0.64565
0.643246,0.637312,0.653945
0.651136,0.645238,0.662138
0.659948,0.65433,0.670967
0.668043,0.662552,0.678445
0.676016,0.671075,0.687066
0.685296,0.680676,0.695711
0.693702,0.689803,0.704643
0.703386,0.698782,0.713908
0.712494,0.708102,0.723231
0.722266,0.7176,0.731517
0.73167,0.727473,0.741757
0.741402,0.737845,0.750658
0.750628,0.746915,0.760406
0.760574,0.757336,0.769617
0.77098,0.767385,0.779497
0.781112,0.777773,0.789852
0.791932,0.789113,0.799319
0.802591,0.800862,0.810377
0.814051,0.811904,0.821088
0.825346,0.823307,0.832079
0.836505,0.836711,0.843728
0.848902,0.84825,0.854803
0.860953,0.86125,0.866509
0.873702,0.874548,0.878943
0.886685,0.888417,0.891648
0.89985,0.901735,0.904057
0.913436,0.914942,0.916551
0.926559,0.928244,0.930426
0.940381,0.941743,0.943615
0.954451,0.955607,0.957934
0.97005,0.970096,0.971089
0.984522,0.985406,0.985162
1,1,1
1.01515,1.01618,1.01473
1.03092,1.033,1.02977
1.04662,1.05002,1.04533
1.06175,1.06647,1.06009
1.0779,1.08312,1.07604
1.09431,1.10014,1.09204
1.11048,1.11682,1.10787
1.12684,1.13321,1.12478
1.14447,1.14946,1.14068
1.16175,1.16602,1.15742
1.17851,1.18289,1.17364
1.1968,1.19991,1.19059
1.21424,1.21683,1.20806
1.23119,1.23403,1.22519
1.24853,1.25209,1.24245
1.26633,1.27135,1.25952
1.28455,1.28893,1.27671
1.30162,1.30625,1.29463
1.31942,1.325,1.31158
1.3371,1.34342,1.32977
1.35513,1.36124,1.34748
1.37307,1.37974,1.36545
1.39067,1.39711,1.3836
1.4091,1.4153,1.40058
1.42662,1.43448,1.41865
1.44566,1.45348,1.43675
1.46331,1.47053,1.45509
1.48118,1.48786,1.47235
1.4997,1.50652,1.4903
1.51822,1.52581,1.50829
1.53626,1.54221,1.52557
1.55415,1.56124,1.54331
1.57335,1.58104,1.56325
9.42248e-08,1.60044,1.58083
1.60933,1.62055,1.59964
2.4712e-05,1.63927,1.61955
1.64597,1.659,1.63734
9.88099e-08,1.67734,1.65775
1.68496,1.69903,1.67665
1.01012e-07,1.71781,1.6947
2.61741e-05,1.73765,1.71535
1.74399,1.75946,1.73492
1.76414,1.77951,1.75576
1.05851e-07,1.79982,1.77592
0.00701549,1.82046,1.79597
1.82542,1.84121,1.81662
1.84493,1.86093,1.83775
1.86527,1.8808,1.85924
1.88641,1.89996,1.88024
2.89004e-05,1.921,1.90141
